Episode,Total_Reward,Mean_Reward,Episode_Length
351,-207.5594685987774,-34.5932447664629,500
352,-204.32820149273434,-34.054700248789054,500
353,-211.85101854670927,-35.30850309111821,500
354,-204.90602010149615,-34.15100335024936,500
355,-207.09740204766334,-34.516233674610554,500
356,-210.57048339651612,-35.09508056608602,500
357,-175.68602127097532,-29.28100354516255,500
358,-197.09231235333192,-32.84871872555532,500
359,-191.51377058106942,-31.91896176351157,500
360,-183.35045392608336,-30.55840898768056,500
361,-201.864904787443,-33.644150797907166,500
362,-194.46790877792247,-32.41131812965374,500
363,-197.87250074028418,-32.9787501233807,500
364,-225.563765524048,-37.59396092067467,500
365,-180.48202109614945,-30.080336849358243,500
366,-201.90265109121756,-33.65044184853626,500
367,-182.77642100074593,-30.462736833457654,500
368,-197.33017927577856,-32.88836321262976,500
369,-210.35567016422004,-35.05927836070334,500
370,-176.75131793151658,-29.458552988586096,500
371,-183.99388384379372,-30.665647307298954,500
372,-223.98848838884373,-37.331414731473956,500
373,-224.12992110906845,-37.354986851511406,500
374,-191.98077264262236,-31.996795440437058,500
375,-201.98102963346503,-33.66350493891084,500
376,-195.61625592523097,-32.60270932087183,500
377,-187.12611750581033,-31.187686250968387,500
378,-199.23265339636478,-33.205442232727464,500
379,-220.7328745977787,-36.78881243296312,500
380,-231.57124528852762,-38.595207548087934,500
381,-206.40426150055634,-34.40071025009272,500
382,-213.85444878435067,-35.64240813072511,500
383,-199.3650417421392,-33.2275069570232,500
384,-245.5586508304893,-40.92644180508155,500
385,-201.70551195545357,-33.61758532590893,500
386,-217.45850532475978,-36.2430842207933,500
387,-219.8576277146729,-36.642937952445486,500
388,-207.65758589802775,-34.609597649671294,500
389,-181.67566041606847,-30.27927673601141,500
390,-186.8110980902679,-31.13518301504465,500
391,-168.6657393172192,-28.110956552869865,500
392,-212.60002090019404,-35.433336816699004,500
393,-205.67406140924115,-34.279010234873525,500
394,-211.26516380158841,-35.21086063359807,500
395,-235.06343052663686,-39.177238421106146,500
396,-188.62041798138245,-31.436736330230406,500
397,-175.1379884391058,-29.18966473985097,500
398,-221.77203753154714,-36.962006255257855,500
399,-179.47826970911194,-29.913044951518657,500
400,-209.62938279992264,-34.93823046665377,500
401,-199.25606199303223,-33.20934366550537,500
402,-231.26572262412563,-38.54428710402094,500
403,-181.2259369872495,-30.20432283120825,500
404,-210.14819603696859,-35.02469933949477,500
405,-228.4835282770665,-38.08058804617775,500
406,-194.75630792949786,-32.45938465491631,500
407,-209.50780725099708,-34.91796787516618,500
408,-175.2229492514795,-29.203824875246582,500
409,-203.00648860568754,-33.83441476761459,500
410,-175.07864648111976,-29.17977441351996,500
411,-197.67255994788633,-32.94542665798105,500
412,-218.071587783726,-36.345264630620996,500
413,-201.53918067544544,-33.589863445907575,500
414,-176.28749254594322,-29.381248757657204,500
415,-215.7232482267376,-35.95387470445627,500
416,-182.99310629915053,-30.49885104985842,500
417,-190.24341807054256,-31.707236345090426,500
418,-215.47798064398697,-35.912996773997826,500
419,-188.24555436800128,-31.374259061333547,500
420,-199.91301622811926,-33.318836038019874,500
421,-216.95931003205246,-36.159885005342076,500
422,-200.28108663103492,-33.38018110517249,500
423,-210.13850928197658,-35.02308488032943,500
424,-184.5764493755647,-30.762741562594115,500
425,-197.4064647087105,-32.90107745145175,500
426,-193.77361932883696,-32.295603221472824,500
427,-196.53547279081405,-32.75591213180234,500
428,-240.18914258285534,-40.031523763809226,500
429,-194.2214848895643,-32.37024748159405,500
430,-205.00255991257512,-34.16709331876252,500
431,-211.9743634145678,-35.32906056909463,500
432,-209.3501092043748,-34.8916848673958,500
433,-209.31721260065075,-34.886202100108456,500
434,-198.79181403386266,-33.131969005643775,500
435,-220.56345996924418,-36.760576661540696,500
436,-184.87241380994692,-30.812068968324485,500
437,-199.22238426508164,-33.20373071084694,500
438,-212.05334085072786,-35.34222347512131,500
439,-190.6872134126151,-31.781202235435853,500
440,-205.33567566853645,-34.22261261142274,500
441,-184.10618921814398,-30.684364869690665,500
442,-186.37579935204278,-31.062633225340463,500
443,-166.9359725905703,-27.82266209842838,500
444,-225.75175975410446,-37.62529329235074,500
445,-232.4738843278069,-38.745647387967814,500
446,-214.43763889394498,-35.73960648232416,500
447,-181.73538291319858,-30.289230485533096,500
448,-183.11341827501457,-30.51890304583576,500
449,-220.89447465954262,-36.81574577659044,500
450,-173.83717615234107,-28.972862692056847,500
451,-192.36306772031287,-32.060511286718814,500
452,-228.32617615266216,-38.05436269211036,500
453,-193.32063877973036,-32.220106463288396,500
454,-187.66839270044372,-31.278065450073953,500
455,-220.48325213319677,-36.74720868886613,500
456,-204.42960091956473,-34.07160015326079,500
457,-205.59588922519453,-34.26598153753242,500
458,-210.81714706278393,-35.136191177130655,500
459,-209.34982875852762,-34.89163812642127,500
460,-208.70685646621843,-34.78447607770307,500
461,-214.40306948022106,-35.73384491337018,500
462,-233.3514784883648,-38.89191308139413,500
463,-223.0668781496145,-37.17781302493575,500
464,-235.18580429131214,-39.197634048552025,500
465,-169.83210930398934,-28.30535155066489,500
466,90.22404835709276,15.037341392848793,500
467,-209.77159149169222,-34.96193191528204,500
468,-212.50725403761348,-35.41787567293558,500
469,-213.96464270474615,-35.66077378412436,500
470,-223.83114045133215,-37.30519007522202,500
471,-214.35261820605825,-35.72543636767637,500
472,-195.9318703770466,-32.655311729507766,500
473,-202.97238750684744,-33.82873125114124,500
474,-193.93650974846338,-32.322751624743894,500
475,-195.58633632754032,-32.59772272125672,500
476,-195.5062162279584,-32.584369371326396,500
477,-194.3343481821691,-32.38905803036152,500
478,-219.74099121522488,-36.623498535870816,500
479,-243.66462260599465,-40.610770434332444,500
480,-196.62438811852974,-32.77073135308829,500
481,-216.98007713717587,-36.163346189529314,500
482,-231.05955528844933,-38.50992588140822,500
483,-194.2628738831634,-32.3771456471939,500
484,-200.53364069776927,-33.422273449628214,500
485,-185.76219167783574,-30.96036527963929,500
486,-195.6514379249832,-32.608572987497205,500
487,-179.72521891753556,-29.95420315292259,500
488,-210.2700155297992,-35.045002588299866,500
489,-187.95863672088464,-31.326439453480774,500
490,-109.18354604234258,-18.197257673723765,500
491,-205.38431201546263,-34.23071866924377,500
492,-223.92606476705512,-37.321010794509185,500
493,-214.30429900596798,-35.71738316766133,500
494,-186.0433529312818,-31.007225488546965,500
495,-231.0873021277064,-38.51455035461773,500
496,-184.8732721693567,-30.812212028226117,500
497,-191.1394135083121,-31.856568918052016,500
498,-246.81964924016594,-41.136608206694326,500
499,-222.85148319537794,-37.14191386589632,500
500,-202.283447811891,-33.7139079686485,500
501,-188.92203248184,-31.487005413640002,500
502,-182.74945849048265,-30.45824308174711,500
503,-196.6416432517014,-32.7736072086169,500
504,-215.1802195382105,-35.86336992303509,500
505,-195.46111329279626,-32.57685221546604,500
506,-176.25114767431668,-29.375191279052782,500
507,-225.1702449518035,-37.528374158633916,500
508,-206.96776053351675,-34.494626755586125,500
509,-197.32306754552454,-32.88717792425409,500
510,-198.61425216455686,-33.102375360759474,500
511,-197.9774211943756,-32.996236865729266,500
512,-242.32576055288672,-40.387626758814456,500
513,-196.77170875861617,-32.795284793102695,500
514,-215.9079822854543,-35.98466371424238,500
515,-197.08910786264474,-32.848184643774125,500
516,-195.9425747399786,-32.65709578999643,500
517,-187.9752536548786,-31.329208942479767,500
518,-205.7255407640317,-34.28759012733862,500
519,-109.31743504273919,-18.2195725071232,500
520,-181.29563154650904,-30.21593859108484,500
521,-189.76042412181556,-31.626737353635928,500
522,-194.63026555539523,-32.43837759256587,500
523,-189.82415267667184,-31.637358779445307,500
524,-191.09240915063768,-31.848734858439613,500
525,-200.37782462914942,-33.39630410485824,500
526,-179.17403174235645,-29.862338623726075,500
527,-220.801744673157,-36.8002907788595,500
528,-199.89415164575837,-33.31569194095973,500
529,-151.79421042111343,-25.29903507018557,500
530,-202.76380436308065,-33.79396739384678,500
531,-191.4904619903157,-31.915076998385953,500
532,-222.43106256571647,-37.071843760952746,500
533,-41.696192653131035,-6.949365442188506,500
534,-210.5735176734764,-35.095586278912734,500
535,-234.32139284060858,-39.053565473434766,500
536,-206.91348207792657,-34.48558034632109,500
537,-226.56006651781388,-37.76001108630231,500
538,-212.6938020815556,-35.4489670135926,500
539,-196.79058029396114,-32.798430048993524,500
540,-210.4289204358477,-35.07148673930795,500
541,-199.94034416570764,-33.323390694284605,500
542,-189.98296159235653,-31.663826932059422,500
543,-220.25472548320408,-36.709120913867345,500
544,-206.4144056587684,-34.402400943128065,500
545,-198.26538545799087,-33.044230909665146,500
546,-192.24173473921388,-32.040289123202314,500
547,-215.0923892350035,-35.848731539167254,500
548,-200.2618154172798,-33.3769692362133,500
549,-220.91414867271675,-36.81902477878612,500
550,-190.32619011331954,-31.721031685553257,500
551,-253.89387157681793,-42.31564526280299,500
552,-215.45071961997894,-35.90845326999649,500
553,-233.96088549504188,-38.993480915840316,500
554,-217.15237330903517,-36.19206221817253,500
555,-197.51543001647758,-32.919238336079594,500
556,-191.3657706383978,-31.894295106399635,500
557,-202.54450818330406,-33.757418030550674,500
558,-207.00022013796917,-34.50003668966153,500
559,-176.14160096450811,-29.356933494084686,500
560,-182.27862157676586,-30.37977026279431,500
561,-215.64898710015171,-35.941497850025286,500
562,-220.95928982276723,-36.82654830379454,500
563,-186.03184995451934,-31.005308325753223,500
564,-181.47512597816774,-30.245854329694623,500
565,-221.8444283813261,-36.97407139688769,500
566,-195.28216703884505,-32.547027839807505,500
567,-191.03408037301784,-31.839013395502974,500
568,-184.58381910270515,-30.76396985045086,500
569,-186.4055923870911,-31.06759873118185,500
570,-210.99743483369156,-35.16623913894859,500
571,-194.05368058125148,-32.34228009687525,500
572,-195.29212701609438,-32.54868783601573,500
573,-222.0302779220314,-37.005046320338565,500
574,-248.33815980576674,-41.38969330096112,500
575,-243.49273445302865,-40.58212240883811,500
576,-211.53058331340745,-35.25509721890124,500
577,-196.8978761664415,-32.81631269440692,500
578,-171.95794508139755,-28.65965751356626,500
579,-203.33026511323206,-33.88837751887201,500
580,-225.66821859197455,-37.611369765329094,500
581,-206.38110396738298,-34.396850661230495,500
582,-209.61695790980357,-34.93615965163393,500
583,-194.47652111271046,-32.412753518785074,500
584,-185.94218662274483,-30.99036443712414,500
585,-185.6321047114583,-30.938684118576386,500
586,-210.47981296580662,-35.07996882763444,500
587,-219.2302679805225,-36.53837799675375,500
588,-228.97138035370497,-38.161896725617495,500
589,-246.06884925056443,-41.01147487509407,500
590,-176.47548451245785,-29.41258075207631,500
591,-205.72246512418883,-34.28707752069814,500
592,-182.91289977231912,-30.48548329538652,500
593,-195.61067261992258,-32.6017787699871,500
594,-193.81444931202233,-32.30240821867039,500
595,-158.35425992532953,-26.39237665422159,500
596,-178.39816761962277,-29.733027936603794,500
597,-204.26663423372727,-34.04443903895454,500
598,-199.66124346865567,-33.276873911442614,500
599,-223.66671506677014,-37.27778584446169,500
600,-180.4415233643827,-30.073587227397116,500
601,-210.56237381972682,-35.09372896995447,500
602,-187.39892958235913,-31.233154930393187,500
603,-209.6372155078113,-34.93953591796855,500
604,-213.59257756659173,-35.598762927765286,500
605,-202.8901890825103,-33.81503151375171,500
606,-234.1462842877371,-39.02438071462285,500
607,-245.82673099878016,-40.97112183313003,500
608,-210.51318101711087,-35.08553016951848,500
609,-212.43272940019511,-35.40545490003252,500
610,-184.50322701944853,-30.750537836574754,500
611,-199.9012552323519,-33.31687587205865,500
612,-231.46736367282173,-38.57789394547029,500
613,-182.18074106407465,-30.363456844012443,500
614,-185.31113809622883,-30.885189682704805,500
615,-218.7486285432998,-36.45810475721663,500
616,-170.82236574599477,-28.470394290999128,500
617,-186.34321381056918,-31.05720230176153,500
618,-188.43252357618633,-31.405420596031053,500
619,-178.88795622127682,-29.814659370212805,500
620,-183.71646256481324,-30.619410427468875,500
621,-197.95931726609209,-32.99321954434868,500
622,-224.9822417000962,-37.49704028334937,500
623,-218.76986241261213,-36.46164373543535,500
624,-191.3029127711908,-31.883818795198465,500
625,-197.32042799396893,-32.886737998994825,500
626,-190.30795479927414,-31.71799246654569,500
627,-206.67795073082488,-34.44632512180414,500
628,-193.916580166004,-32.31943002766733,500
629,-216.46948214827188,-36.07824702471198,500
630,-214.9038841224656,-35.81731402041093,500
631,-182.24677417704729,-30.374462362841214,500
632,-200.42661508989121,-33.4044358483152,500
