Episode,Total_Reward,Mean_Reward,Episode_Length,Duration_Sec
196,-198.91101710697944,-33.151836184496574,500,2.744079351425171
197,-122.3388617861167,-20.389810297686115,500,5.569235563278198
198,-199.6006074083416,-33.26676790139027,500,2.7534594535827637
199,-211.26476363293204,-35.21079393882201,500,2.7429544925689697
200,-164.99434139930236,-27.499056899883726,500,2.7946009635925293
201,-67.54560730203048,-11.25760121700508,500,15.535307168960571
202,-186.87555544906718,-31.145925908177862,500,2.777330160140991
203,-191.65225637201593,-31.94204272866932,500,2.7045845985412598
204,19.496926824321235,3.249487804053539,500,2.736706495285034
205,-171.9509474079116,-28.658491234651933,500,5.52864670753479
206,-163.13349635417217,-27.188916059028696,500,2.767291784286499
207,-186.17554203546842,-31.029257005911404,500,2.7234110832214355
208,-214.77419944752728,-35.79569990792121,500,2.714573621749878
209,-139.23095332729758,-23.20515888788293,500,5.500984191894531
210,-176.37793312093368,-29.396322186822278,500,2.770294189453125
211,-164.0783566618744,-27.34639277697907,500,2.8001744747161865
212,-198.58964224241208,-33.09827370706868,500,2.7087786197662354
213,-146.83977284063997,-24.473295473439993,500,5.56144905090332
214,-178.13632469931662,-29.6893874498861,500,2.710803985595703
215,-192.2751676134285,-32.04586126890475,500,2.696728467941284
216,-169.8279888762956,-28.30466481271593,500,2.693798542022705
217,-216.68441358178848,-36.11406893029808,500,2.727407217025757
218,-182.0475565954821,-30.341259432580348,500,5.894301652908325
219,-191.67205466824134,-31.945342444706892,500,3.1606554985046387
220,-186.8176498137227,-31.136274968953785,500,3.2387771606445312
221,-183.10080439467993,-30.516800732446654,500,3.3294715881347656
222,-173.78155446494634,-28.96359241082439,500,6.662027597427368
223,-209.21088248331426,-34.86848041388571,500,3.333198070526123
224,-164.93242968891718,-27.488738281486196,500,3.1848251819610596
225,-176.9297250025138,-29.488287500418966,500,3.2901735305786133
226,-168.03123075174773,-28.005205125291287,500,6.459420919418335
227,-144.26017060355957,-24.043361767259928,500,2.8381500244140625
228,-166.54526331865782,-27.75754388644297,500,2.8445377349853516
229,-198.54893355921922,-33.091488926536535,500,2.8650243282318115
230,-147.3107398673373,-24.551789977889552,500,5.883961915969849
231,-147.13428344662498,-24.522380574437495,500,3.2529735565185547
232,-140.91945584260543,-23.48657597376757,500,3.0248773097991943
233,-190.2781067868831,-31.713017797813848,500,2.837710380554199
234,-177.11040996662996,-29.518401661104992,500,6.301663875579834
235,-161.9433011293463,-26.990550188224386,500,3.0581278800964355
236,-142.62815610644475,-23.771359351074125,500,3.3546156883239746
237,-195.6645934159269,-32.61076556932115,500,2.8639461994171143
238,-170.53146421136717,-28.42191070189453,500,5.706130266189575
239,-168.77489500494084,-28.12914916749014,500,2.8049097061157227
240,-173.42267712983266,-28.90377952163878,500,2.762338161468506
241,-143.68878495996307,-23.948130826660513,500,2.7831039428710938
242,-145.4949951258568,-24.249165854309467,500,5.681947231292725
243,-176.39405246407094,-29.399008744011823,500,2.813774585723877
244,-183.51409628256124,-30.585682713760207,500,2.761657476425171
245,-145.59126402203037,-24.265210670338394,500,2.781799077987671
246,-193.66679283429562,-32.27779880571594,500,5.585752964019775
247,-175.58811251710222,-29.264685419517036,500,2.7845957279205322
248,-186.36441221805944,-31.060735369676575,500,2.7619612216949463
249,-172.38229943338774,-28.730383238897957,500,2.768676996231079
250,-179.60687366521694,-29.934478944202823,500,6.258875131607056
251,-175.3498769727039,-29.22497949545065,500,3.1839189529418945
252,-190.10667945061687,-31.68444657510281,500,3.499480962753296
253,-160.16608047191858,-26.694346745319763,500,3.401667833328247
254,-193.2303873816046,-32.205064563600764,500,6.230896234512329
255,-142.5680787765191,-23.76134646275318,500,2.962383985519409
256,-134.50418166349732,-22.417363610582886,500,2.8299853801727295
257,-68.63718384430456,-11.439530640717427,500,2.9935755729675293
258,-144.2315842819189,-24.038597380319818,500,3.016580104827881
259,-202.80228207917753,-33.800380346529586,500,6.310185670852661
260,-194.06489662575314,-32.344149437625525,500,2.8626527786254883
261,-214.84150914489646,-35.80691819081608,500,2.8625473976135254
262,-222.1225402619839,-37.020423376997314,500,3.0231053829193115
263,-137.04667682607214,-22.841112804345357,500,5.780531883239746
264,-196.3167627322273,-32.71946045537121,500,2.7742223739624023
265,-193.0975104241422,-32.1829184040237,500,2.746117115020752
266,-133.00896681156155,-22.16816113526026,500,3.040593147277832
267,-188.8577592619149,-31.476293210319152,500,5.611505031585693
268,-193.6117761683904,-32.2686293613984,500,2.757706642150879
269,-157.62037823163746,-26.270063038606242,500,2.8158607482910156
270,-182.9958527137801,-30.499308785630017,500,2.760777711868286
271,-210.1145559097713,-35.01909265162855,500,5.592133522033691
272,-192.0163245734276,-32.002720762237935,500,2.74947452545166
273,-157.61216780164068,-26.26869463360678,500,2.7915663719177246
274,-157.93871127699413,-26.323118546165688,500,2.767554998397827
275,-170.05898684369095,-28.34316447394849,500,5.558531999588013
276,-187.454198943165,-31.242366490527502,500,2.7275421619415283
277,-181.90234355721987,-30.317057259536643,500,2.7963881492614746
278,-153.79112479666242,-25.631854132777068,500,2.7465410232543945
279,-175.87355374090293,-29.312258956817157,500,6.281736612319946
280,-197.31585034298405,-32.88597505716401,500,2.8497116565704346
281,-165.1547751186772,-27.525795853112868,500,2.9421660900115967
282,-192.94016183904023,-32.156693639840036,500,3.2562670707702637
283,-166.98071054771702,-27.830118424619503,500,5.962479114532471
284,-182.67055863585807,-30.445093105976344,500,2.8755102157592773
285,-174.6410256453778,-29.106837607562966,500,3.3629379272460938
286,-185.04792211205495,-30.84132035200916,500,3.149280071258545
287,-198.59278843463966,-33.09879807243994,500,7.07535457611084
288,-207.9508672133045,-34.658477868884084,500,3.0165929794311523
289,-177.81119000660283,-29.635198334433806,500,3.086489200592041
290,-152.17535620746457,-25.362559367910762,500,2.997710943222046
291,-205.27609344377743,-34.21268224062957,500,5.841240406036377
292,-206.64365589849768,-34.44060931641628,500,3.1711795330047607
293,-172.2328327208379,-28.70547212013965,500,2.9560201168060303
294,-173.03941793789818,-28.839902989649698,500,2.8662972450256348
295,-136.90299714446428,-22.817166190744047,500,5.803691864013672
296,-196.00227716625727,-32.66704619437621,500,2.8896195888519287
297,-158.8738512070417,-26.478975201173615,500,3.0019044876098633
298,-148.39584554399607,-24.732640923999345,500,3.6511008739471436
299,-177.34023541764532,-29.556705902940887,500,3.0113325119018555
300,-133.94857036617395,-22.32476172769566,500,6.927525043487549
301,-235.87714187289475,-39.312856978815795,500,13.393758773803711
302,-173.56721885066463,-28.927869808444104,500,2.8990399837493896
303,-183.50373066025895,-30.58395511004316,500,2.882549524307251
304,-166.34167001801416,-27.723611669669026,500,6.026533365249634
305,-150.7379285924568,-25.1229880987428,500,2.967499256134033
306,-161.5271365251201,-26.921189420853352,500,2.9624414443969727
307,-161.32787473681492,-26.887979122802488,500,3.021740198135376
308,-179.73328844529556,-29.955548074215926,500,6.007686138153076
309,-169.96866104696556,-28.32811017449426,500,3.008310317993164
310,-155.98458780119665,-25.99743130019944,500,2.983285427093506
311,-183.83117540771764,-30.638529234619607,500,3.0233116149902344
312,-201.67889013899367,-33.61314835649895,500,6.0864856243133545
313,-144.99780266615244,-24.16630044435874,500,3.381883144378662
314,-152.27583904777453,-25.379306507962422,500,2.9227800369262695
315,-184.1724039149567,-30.695400652492783,500,2.982475757598877
316,-146.9044300391197,-24.484071673186616,500,6.649637699127197
317,-193.15140368518678,-32.1919006141978,500,2.9079363346099854
318,-197.6591570319324,-32.9431928386554,500,3.253575563430786
319,-185.24373486026366,-30.87395581004394,500,3.2250325679779053
320,-195.7192536925665,-32.61987561542775,500,7.475796461105347
